date,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Ecuador,"Egypt, Arab Rep.",Euro area,Spain,Estonia,Ethiopia,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Chad,Togo,Thailand,Tajikistan,Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,1.16E+11,,,1.99E+11,91836704604,,597069961.5,1.19E+11,1731160070,1297842688,17862547694,,,1942547494,,,99372344.02,1481304218,3676733525,2.47E+11,,,,205010518,900551159.4,2.94E+11,,29375692257,1.28E+11,4293692788,4955702656,15841902488,1592525013,37566131248,,,3873980069,,,,,94053807786,4360946099,27434020371,2.59E+11,10168767411,15409781351,2.85E+12,2.25E+11,,,2.79E+11,53974754756,697947700.1,5.94E+11,2187247771,7.30E+11,,7011622290,,,,,52154874899,,6155035023,1466748916,,2234326592,,5845645805,,60580597267,1.49E+11,,65260083266,,2054565119,18580162595,5.46E+11,,,7.96E+11,,4364226423,,,,,23312576379,,,,,,,,219198405.4,,8504063008,,,,,4175487806,,,1.48E+11,,,,3333228175,,,,,,,872749542,11043462326,3.47E+12,,2798910526,61407215816,2669697385,1.88E+11,82968145889,2687564645,,,,13590748630,2423942593,27007516808,28897257012,,2283924563,,13751199388,39866242631,2597665884,,,,,1031511774,1.90E+11,,8261105030,4366638294,5768016072,,863817135.3,,,,960060872.2,,,1.35E+11,,117996015.5,2091978807,592132789.1,15639909036,,,,,3397615808,,87220338180,,,,,13898153415,3.17E+12,,141860602.9,,,,,,79070958914,4592975694,3756656488
1961,,,,,,,1.22E+11,,,2.04E+11,96922602310,,514995918.3,1.25E+11,1785540663,1350326511,18944689561,,,2149760928,,,104233914.6,1550629256,3753551369,2.72E+11,,,,218014916.8,945160445.6,3.03E+11,,30916527184,93129959292,4720166192,5014362358,14122838070,1725512425,39477953180,,,3946782868,,,,,1.00E+11,4260066567,23701500826,2.30E+11,10689857241,16205097756,3.03E+12,2.51E+11,,,2.82E+11,58079356997,722498582.8,6.24E+11,2510235219,7.50E+11,,7252098078,,,,,59041321755,,6419610333,1535532463,10710206077,2275788082,,5674252622,,64058314794,1.54E+11,,72750375293,,2052825685,20661862760,5.91E+11,,,8.92E+11,,4024923752,,,,,24929534964,,,,,,,5924493034,223286006.7,,8829767186,,,,,4261028217,,,1.55E+11,,,,3348946382,,,,,1210392130,,939424097.3,11882543931,3.55E+12,,2926159999,61524992086,2869864445,1.89E+11,88173016047,2738850526,,,,14404473832,2688796979,28991785084,30520294373,,2425096492,,14719522886,42072800680,2776912247,,,,,987182286.8,1.98E+11,,8262954802,4497351352,6237353063,,879443963.5,,,,1006143794,,,1.43E+11,,112235123.9,2121219308,664191307.5,16478543840,,,,,3874541546,,88228665807,,,,,14244639650,3.25E+12,,148283034.3,,,,,,82111040763,4655503638,3993932820
1962,,,,,,,1.21E+11,,,2.07E+11,99489767156,,561670811.7,1.32E+11,1724360723,1433085306,19977749350,,,2374453336,,,109333717.5,1619942383,3962958917,2.86E+11,,,,232549247.1,910059075.2,3.26E+11,,32161438540,87933307573,4778082371,5166877150,17116978250,1815278909,41614456428,,,4161582239,,,,,1.06E+11,4986290379,19035850475,2.30E+11,11215707027,16833145235,3.23E+12,2.76E+11,,,3.03E+11,59811251790,748552619.7,6.66E+11,2697227952,7.58E+11,,7550098290,,,,,59256710719,,6646639934,1552498957,12240845738,2406983761,,6121813604,,65238254669,1.59E+11,,78999947515,,2223491715,22760305749,6.28E+11,,,9.72E+11,,4405575231,,,,,25900608291,,,,,,,6150691336,257519802.6,,8949735261,,,,,4357799138,,,1.62E+11,,,,3485813552,,,,,1219186940,,945702876.7,12645525595,3.77E+12,,3226931601,64049357952,3182415594,2.02E+11,90654156346,2791171336,,,,15050206030,2910481214,31901195760,31977065211,,2579674551,,15944674778,44855684106,2868557530,,,,,1099067537,2.04E+11,,8834407713,4491224369,6708525608,,919379224.2,,,,1045383402,,,1.49E+11,,121672505.5,2234919126,689255581.5,17723374971,,,,,3980799420,,93144262912,,,,,14020350840,3.44E+12,,153760997.8,,,,,,87183764870,4539542515,4051224624
1963,,,,,,,1.14E+11,,,2.20E+11,1.04E+11,,584898188.1,1.37E+11,1805923467,1414913550,19886671931,,,2624342116,,,114752771.2,1637275767,4232346034,2.89E+11,,,,246318592.9,903624859.7,3.43E+11,,34039711621,96990438248,5470443510,5360250127,18009455807,1742135869,42982201911,,,4448686611,,,,,1.06E+11,5310543987,25567760579,2.43E+11,11451951118,18603671041,3.42E+12,3.03E+11,,,3.18E+11,61776111005,796151373.9,7.08E+11,2861554820,7.95E+11,,7882753673,,,,,66275589692,,7280798770,1361872931,14170468747,2493164291,,6005940372,,63778855350,1.68E+11,,84746763991,,2452141881,25194682724,6.63E+11,,,1.05E+12,,4792311613,,,,,28236990348,,,,,,,6305488774,284855709.9,,9257526370,,,,,4317297682,,,1.75E+11,,,,3951145084,,,,,1195001105,,932547407.2,13573555873,3.94E+12,,3531174113,69543908292,3528200300,2.09E+11,94085455221,2844067149,,,,16357893075,3159001058,33281959208,34234801879,,2684732358,,17324056089,47490373373,3003674946,,,,,991134220.2,2.15E+11,,8582894627,4574962285,7382103260,,935006052.4,,,,1103924872,,,1.57E+11,,134004747.6,2199172623,723716253.4,19141214978,,,,,4203907195,,1.02E+11,,,,,14044249770,3.60E+12,,144127350.7,,,,,,93612358103,4688094182,4304197046
1964,,,,,,,1.26E+11,,,2.35E+11,1.10E+11,,621589073.1,1.47E+11,1926031087,1447213468,22064817057,,,2899939167,,,120490272,1819177104,4399802890,2.99E+11,,,,263147820.4,922423189.9,3.66E+11,,34910182119,1.15E+11,6433957530,5550386759,17569984822,1808629646,45632889083,,,4611466204,,,,,1.16E+11,5669795125,27060767716,2.67E+11,12300225236,20744502899,3.61E+12,3.19E+11,,,3.39E+11,65012367853,834981911.4,7.55E+11,2991883007,8.39E+11,,8056909518,,,,,72511908372,,7618117626,1516585542,15393048107,2628210164,,5907001071,,66030056427,1.81E+11,,92538329399,,2695309610,27194433059,6.81E+11,,,1.18E+12,,5030224355,,,,,30912113319,,,,,,,6551808521,308359491,,9985707548,,,,,4488371416,,,1.96E+11,,,,3718263848,,,,,1525907503,,957363456.7,14300957698,4.17E+12,,3535801360,72986671585,3940946072,2.26E+11,98798808156,3058295044,,,,17596145904,3299012103,35461217848,35414869387,,2914821480,,18547294475,50487370867,3130204073,,,,,867589412.2,2.32E+11,,8486727660,4752650485,7153012025,,997513439.7,,,,1175679989,,,1.68E+11,,141936818.9,2143952726,827106438.8,20448750635,,,,,4524686324,,1.07E+11,,,,,14387002604,3.80E+12,,149416429,,,,,,1.01E+11,5260700256,4256585230
1965,,,,,,,1.39E+11,,,2.49E+11,1.14E+11,,646248914,1.52E+11,2027992531,1501694476,22419234996,,,3202275123,,,126431094.2,1905769935,4615984651,3.08E+11,,,,278447116.4,931163875.7,3.89E+11,,35241923981,1.34E+11,6233883695,5662840577,17745218854,1875123331,47275678288,,,4989169616,,,,,1.22E+11,4962100714,28740402023,2.94E+11,12703067759,21763896545,3.80E+12,3.39E+11,,,3.53E+11,68459881274,812435170.8,7.92E+11,3241206661,8.57E+11,7345028481,8167208518,,,,,80319998283,,7950402343,1676449109,17646902296,2865725629,,6034698494,,66744230562,1.76E+11,,1.08E+11,,2894000539,29667485446,7.04E+11,,,1.25E+12,,5131286299,,,,,33174395800,,,,,,,6718024859,315001880,,9912319227,,,,,4468072583,,,2.10E+11,,,,4115844769,2.18E+11,,,,1772163499,,1087722789,15399966772,4.44E+12,,3780470392,76552053587,4316327327,2.46E+11,1.04E+11,3021497974,,,1446595967,19429552717,3601202808,37454752994,37279749285,,3214130501,,20254543713,54258266807,3323274271,,,,,928403345.8,2.30E+11,,9061879480,4815964795,7713420724,,1069136459,7547385272,,,1316761588,,,1.74E+11,,140431478,2156949963,954974718.1,22121798201,,,2.17E+11,,4556080873,5059838759,1.10E+11,,,,,14537433686,4.05E+12,,150738667.4,,,,,,1.07E+11,6136473015,4465607852
1966,,,,,,,1.38E+11,,,2.55E+11,1.20E+11,,676060330.5,1.57E+11,2100510760,1509767782,22994694611,,,3492783239,,,132462925.9,2179507798,4946977970,3.21E+11,,,,296111854.6,937167868.8,4.15E+11,,39201792005,1.48E+11,6955602833,5924178156,18947543549,1900605929,49751380685,,,5336880763,,,,,1.25E+11,5630165444,27359434057,3.16E+11,12659937587,22862190628,4.00E+12,3.63E+11,,,3.53E+11,70084313093,812435170.8,8.33E+11,3387320405,8.70E+11,7898522746,7819425064,,289673615.7,,,85536382457,,8388636787,1764182282,17963607406,3019725205,,5999951496,,68607293522,1.76E+11,,1.21E+11,,3146818500,29643856845,7.46E+11,6759236976,,1.38E+12,,5887051209,,,,,37153318438,,,,,,,7055524282,313724480,,10021939973,,,11947014184,,4560318283,,,2.23E+11,,,,3916153089,2.35E+11,,,,1776256523,,1231835576,16603737673,4.73E+12,,3766010199,73298197688,4458815179,2.53E+11,1.08E+11,3234230864,,,1521883528,20554514454,3874224466,40540620296,38929748816,,3400992269,,21773462003,56470869787,3389457388,,,,,993474308.4,2.32E+11,,8737903924,4954508591,8498614168,,1087311779,8087863927,,,1569579813,,,1.78E+11,,159946549,2117971885,1044825607,24582299297,,,2.33E+11,,4740912944,5234649504,1.23E+11,,,,,14982694337,4.31E+12,,150738667.4,,,,,,1.12E+11,5794652457,4533624866
1967,,,,,,,1.43E+11,,,2.71E+11,1.24E+11,,769502134.9,1.63E+11,2123162640,1642979349,22563345431,,,3828024552,,,138970992.6,2468838324,5259489428,3.36E+11,,,,313655178.9,980995584.2,4.28E+11,,40619328747,1.40E+11,7275432009,5277727950,18760770287,1940827921,51808532697,,,5638421246,,,,,1.32E+11,5817511580,29945711115,3.13E+11,13244962664,23046291648,4.21E+12,3.79E+11,,,3.43E+11,71604321918,920910120,8.74E+11,3526713817,8.95E+11,8392180381,8059900852,,289673615.7,,,90385855229,,8733592264,1840282434,18251632092,3200230573,,5872891352,,69554350527,1.90E+11,,1.35E+11,,3106940070,30531696335,7.99E+11,6881487139,,1.53E+12,,6084928660,,,,,40526693574,,,,,,,7509831214,347958288.3,,10043660605,,,13145161284,,4812438471,,,2.36E+11,,1945443160,,3684110880,2.57E+11,,,,1839617953,,1321532299,17244168158,4.85E+12,,3770637445,61758401962,4769572919,2.66E+11,1.15E+11,3183405007,,,2529660856,21664584151,4205584218,42102473804,41002427111,,3539428349,,23128473175,60731304693,3699605186,,,,,1062183166,2.47E+11,,8862338778,4894073849,9561682220,,1087706272,8527588864,,,1759498970,,,1.84E+11,,160753862.3,2134220994,1102294897,26700305862,,,2.55E+11,,4837746931,5243127148,1.28E+11,,,,,14434802059,4.42E+12,,136382597.9,,,,,,1.20E+11,6253571345,4912953663
1968,,,,,,,1.50E+11,,,2.85E+11,1.29E+11,,767209913.7,1.70E+11,2204741675,1693431531,24704483720,,,4150411729,,,149209298.9,2520813868,5708094585,3.75E+11,,,,346799298.9,994769872.5,4.49E+11,,42078380450,1.34E+11,8188371307,5612669658,19573617893,2088938831,54882394077,,,6116181839,,,,,1.39E+11,5831407316,33178721530,3.22E+11,13497867067,22675985597,4.45E+12,4.04E+11,,,3.59E+11,73253577092,993811405.5,9.14E+11,3615192045,9.43E+11,8766164037,8089630628,,317413176.7,,,96896998166,,9499182023,1859142156,18871719136,3411387650,,6059744280,,77146332091,1.96E+11,,1.55E+11,13465091875,2936838011,35490641269,8.52E+11,7276768859,,1.73E+12,,6570669650,,,,,45862344145,,,,,,,7945483594,346680863.6,,10463874552,,,14445446370,,5141069601,,4.50E+11,2.58E+11,,2017588172,,4128390344,2.88E+11,,,,2027193542,,1296118187,18619906970,5.08E+12,,3785097639,60987434624,4833626378,2.83E+11,1.17E+11,3204908381,,,4601144396,23231631385,4499024173,42166569647,43030168555,,3693732923,,24326628602,66121517248,3867089044,,,,,1136682366,2.57E+11,76790678103,9036326058,5201948951,10855112277,,1109677110,8803600683,,,1893220892,,,1.90E+11,,172895980.3,2124462933,1157670796,28868976863,,,2.86E+11,,5090042284,5788922454,1.37E+11,,,,,14707462730,4.63E+12,,145260703.9,,,,,,1.25E+11,6331636551,5009745482
1969,,,,,,,1.64E+11,,,3.05E+11,1.37E+11,,756012169.3,1.81E+11,2268183072,1727741826,25006090364,,,4523187706,,,156828484.9,2607439774,5963480292,4.11E+11,,,,399247160.4,1065314401,4.72E+11,,43735420036,1.57E+11,8969477960,5887773512,21399608887,2246622905,58231601674,,,6452070310,,,,,1.48E+11,6466531886,35976776110,3.56E+11,14128114603,23873168228,4.76E+12,4.40E+11,,,3.83E+11,80281003556,1019614829,9.79E+11,3907404779,9.61E+11,9185024480,8575507998,,325143847.3,,,1.08E+11,,9949149633,1989177746,21012478885,3433747210,,6290738295,,82409484955,2.09E+11,,1.80E+11,13901924907,3006575814,40305196436,9.04E+11,7682424991,,1.94E+12,,7093643996,,,,,52540528252,,,,,,,8558622235,352045877.2,,11507421896,,,15653398482,,5332380222,,5.02E+11,2.67E+11,,2022248789,,4264286267,3.24E+11,,,,2052503704,,1372360523,19530147388,5.25E+12,,3577449233,75744798340,5135133680,3.01E+11,1.23E+11,3347956954,,,5782081885,24511206325,4878804312,43648496412,45033807500,,3999332363,,26607306966,67523783481,4048886755,,,,,1261801201,2.73E+11,81427212127,9161872299,4861005782,12356736495,,1204282042,9110443038,,,1978415832,,,2.00E+11,,172895980.3,2270653818,1283056596,30760085350,,,3.22E+11,,5229035285,6063769806,1.43E+11,,,,,15570017273,4.77E+12,,149416387.4,,,,,,1.31E+11,6303972629,5632368465
