S_No,State_UT,PerCapita_2011-12,PerCapita_2012-13,PerCapita_2013-14,PerCapita_2014-15,PerCapita_2015-16,PerCapita_2016-17,PerCapita_2017-18,PerCapita_2018-19,PerCapita_2019-20,PerCapitaGrowth_2012-13,PerCapitaGrowth_2013-14,PerCapitaGrowth_2014-15,PerCapitaGrowth_2015-16,PerCapitaGrowth_2016-17,PerCapitaGrowth_2017-18,PerCapitaGrowth_2018-19,PerCapitaGrowth_2019-20
1,Andhra Pradesh ,69000,68865,72254,79174,88609,94115,103177,107286,113927,-0.20,4.92,9.58,11.92,6.21,9.63,3.98,6.19
2,Arunachal Pradesh,73540,73959,78996,91034,88768,91114,94151,97080,105064,0.57,6.81,15.24,-2.49,2.64,3.33,3.11,8.22
3,Assam,41142,41609,43002,44809,50642,53575,57835,60695,62796,1.14,3.35,4.20,13.02,5.79,7.95,4.94,3.46
4,Bihar,21750,22201,22776,23223,24064,25820,26699,28668,31287,2.08,2.59,1.96,3.62,7.30,3.40,7.37,9.13
5,Chhattisgarh,55177,56777,61409,61122,61433,67139,68374,72537,75278,2.90,8.16,-0.47,0.51,9.29,1.84,6.09,3.78
6,Goa,259444,220019,188358,241081,278601,305875,308296,337745,367226,-15.20,-14.39,27.99,15.56,9.79,0.79,9.55,8.73
7,Gujarat,87481,96683,102589,111370,120683,129738,142068,155256,165359,10.52,6.11,8.56,8.36,7.50,9.50,9.28,6.51
8,Haryana,106085,111780,119791,125032,137833,150259,158039,164976,176199,5.37,7.17,4.37,10.24,9.02,5.18,4.39,6.80
9,Himachal Pradesh,87721,92672,98816,105241,112723,122208,129303,136664,142155,5.64,6.63,6.50,7.11,8.41,5.81,5.69,4.02
10,Jammu & Kashmir,53173,52406,54088,50724,59967,60557,63195,67697,0,-1.44,3.21,-6.22,18.22,0.98,4.36,7.12,0.00
11,Jharkhand,41254,44176,43779,48781,44524,48826,52277,54982,57863,7.08,-0.90,11.43,-8.73,9.66,7.07,5.17,5.24
12,Karnataka,90263,94375,101858,105697,116813,131186,141229,148690,154861,4.56,7.93,3.77,10.52,12.30,7.66,5.28,4.15
13,Kerala,97912,103551,107846,112444,120387,129251,137181,145521,149563,5.76,4.15,4.26,7.06,7.36,6.14,6.08,2.78
14,Madhya Pradesh,38497,41142,42548,44027,47351,52782,54829,57401,62236,6.87,3.42,3.47,7.55,11.47,3.88,4.69,8.42
15,Maharashtra,99597,104008,109597,115058,122889,133686,139958,147097,152566,4.43,5.37,4.98,6.81,8.79,4.69,5.10,3.72
16,Manipur,39762,38954,41441,44101,46389,47151,51211,51180,53930,-2.03,6.39,6.42,5.19,1.64,8.61,-0.06,5.37
17,Meghalaya,60013,59703,58681,55880,56039,57752,58493,62458,66153,-0.52,-1.71,-4.77,0.28,3.06,1.28,6.78,5.92
18,Mizoram,57654,60261,67594,85056,91845,99089,117272,129609,148663,4.52,12.17,25.83,7.98,7.89,18.35,10.52,14.70
19,Nagaland,53010,55482,58619,60372,60663,64259,66813,72969,75951,4.66,5.65,2.99,0.48,5.93,3.98,9.21,4.09
20,Odisha,48499,51087,54762,55123,58838,67851,72934,75191,78680,5.33,7.19,0.66,6.74,15.32,7.49,3.10,4.64
21,Punjab,85577,88915,93238,95807,100141,105848,110802,115529,118848,3.90,4.86,2.75,4.52,5.70,4.68,4.27,2.87
22,Rajasthan,57192,58441,61053,64496,68565,71324,73109,75555,78390,2.19,4.47,5.64,6.31,4.02,2.50,3.35,3.75
23,Sikkim,158667,160553,168897,180675,195066,207355,232483,242002,255772,1.19,5.20,6.97,7.97,6.30,12.12,4.09,5.69
24,Tamil Nadu,93112,97257,102191,107117,115875,123206,133029,142941,153853,4.45,5.07,4.82,8.18,6.33,7.97,7.45,7.63
25,Telangana,91121,92732,96039,101424,112267,121512,131503,140682,150641,1.77,3.57,5.61,10.69,8.23,8.22,6.98,7.08
26,Tripura,47155,50501,54645,63992,61612,69860,75020,82632,89682,7.10,8.21,17.10,-3.72,13.39,7.39,10.15,8.53
27,Uttar Pradesh,32002,32908,34044,34583,36973,40847,41832,43670,44618,2.83,3.45,1.58,6.91,10.48,2.41,4.39,2.17
28,Uttarakhand,100314,106359,112900,118979,127249,138784,148090,154549,158919,6.03,6.15,5.38,6.95,9.06,6.71,4.36,2.83
29,West Bengal,51543,53157,53811,54520,57255,60618,64007,67300,71757,3.13,1.23,1.32,5.02,5.87,5.59,5.14,6.62
30,Andaman & Nicobar Islands,89100,92644,98735,106711,114660,129532,145562,155046,0,3.98,6.57,8.08,7.45,12.97,12.37,6.52,0.00
31,Chandigarh,158967,169336,180615,182867,195205,208230,223083,234998,0,6.52,6.66,1.25,6.75,6.67,7.13,5.34,0.00
32,Delhi,185001,192220,200702,213669,233115,244255,252960,260967,274671,3.90,4.41,6.46,9.10,4.78,3.56,3.17,5.25
