Country Name,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Ethiopia,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Serbia,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Chad,Togo,Thailand,Tajikistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,5643,,,19378,13031,,213,13022,712,269,372,,,17735,,,1079,33363,1005,3417,,,,408,600,16406,,3612,192,1226,957,1039,1564,2339,,,2911,,,,,,20538,1324,2481,2238,579,7376,,,1515,12185,1774,12744,4366,13934,,1057,,,,,6260,,2565,11628,,1096,658,,1512,,690,,330,,2979,,11702,8789,10879,,,8608,,537,,,,,932,,3638,,,,,,3693,,,,262,,27086,,,,,,819,,3907,,,,153,,,,,,238,1354,17462,,826,1360,1506,16387,23167,266,,,,302,2139,2660,1100,,1012,,5832,4501,1364,,,,,351,332,,876,1362,3503,,373,,,3335,,,18062,,2830,697,375,571,,,,4007,,3175,,,,,5475,17563,,1752,,,,,,4624,1496,995
1961,,,,,,,5853,,,19469,13677,,181,13625,724,276,384,,,18674,,,1101,34080,1007,3660,,,,425,619,16590,,3723,141,1300,949,903,1654,2383,,,2858,,,,,,21696,1251,2091,2287,592,8173,,,1496,13019,1774,13203,4963,14199,,1059,,,,,7030,,2606,11999,3381,1086,642,,1439,,711,581,336,,3236,,11466,9456,11693,,,9396,,480,,,,,968,,3770,,,,,,3828,,,586,262,,27868,,,,,,816,,3977,,,,151,,,,1382,,251,1412,17577,,839,1336,1568,16220,24426,267,,,,313,2304,2775,1124,,1056,,6134,4712,1421,,,,,329,338,,854,1365,3664,,374,,,3400,,,18999,,2617,693,416,584,,,,4480,,3135,,,,,5539,17671,,1805,,,,,,4685,1471,1023
1962,,,,,,,5711,,,19246,13954,,193,14278,689,289,394,,,19609,,,1123,34763,1042,3740,,,,444,586,17493,,3794,132,1267,957,1067,1698,2435,,,2903,,,,,,22747,1416,1638,2332,599,8904,,,1574,13317,1775,13911,5275,14234,,1068,,,,,7014,,2561,12543,3704,1117,671,,1523,,705,605,339,,3424,,12192,9926,12335,,,10138,,509,,,,,977,,3845,,,,,,3903,,,594,296,,27903,,,,,,814,,4035,,,,154,,,,1352,,246,1455,18379,,899,1362,1686,17085,24912,268,,,,319,2420,2968,1139,,1102,,6507,4987,1430,,,,,360,342,,889,1326,3833,,385,,,3440,,,19699,,2763,716,427,609,,,,4527,,3230,,,,,5384,18463,,1847,,,,,,4853,1392,1003
1963,,,,,,,5323,,,20053,14438,,197,14788,710,281,381,,,20609,,,1146,34324,1091,3665,,,,460,572,18089,,3935,142,1396,971,1094,1589,2438,,,2993,,,,,,22713,1460,2146,2314,644,9673,,,1614,13657,1825,14572,5529,14816,,1080,,,,,7816,,2187,13065,4142,1125,674,,1466,,671,605,352,,3579,,13208,10590,12932,,,10886,,537,,,,,1036,,3825,,,,,,3895,,,595,321,,28564,,,,,,787,,4229,,,,170,,,,1287,,237,1513,18920,,956,1448,1813,17467,25661,268,,,,338,2550,3009,1180,,1125,,6917,5259,1458,,,,,319,353,,840,1314,4113,,385,,,3539,,,20632,,2966,691,444,639,,,,4713,,3440,,,,,5330,19000,,1712,,,,,,5081,1395,1030
1964,,,,,,,5773,,,21036,15221,,205,15668,745,284,411,,,21688,,,1169,37202,1112,3685,,,,480,573,18930,,3957,164,1580,984,1039,1607,2511,,,2995,,,,,,24620,1509,2214,2415,700,10086,,,1680,14293,1853,15337,5700,15535,,1071,,,,,8520,,2378,13750,4392,1153,679,,1414,,677,616,370,,3807,,14262,10988,13185,,,12031,,545,,,,,1105,,4006,,,,,,4071,,,604,341,,30467,,,,,,798,,4588,,,,157,,,,1595,,237,1545,19747,,930,1487,1964,18661,26743,284,,,,355,2585,3115,1182,,1197,,7262,5588,1480,,,,,274,372,,808,1327,3884,,404,,,3671,,,21875,,3064,660,498,662,,,,5013,,3542,,,,,5398,19825,,1756,,,,,,5347,1519,985
1965,,,,,,,6286,,,21862,15649,,209,16079,770,290,405,,,22864,,,1191,38039,1143,3693,,,,497,568,19765,,3920,187,1475,981,1022,1623,2525,,,3132,,,,,,25542,1280,2290,2422,715,10601,,,1711,15001,1751,15893,6077,15766,1873,1055,,,,,9394,,2572,14339,4905,1222,689,,1417,,666,623,353,,4347,,15051,11575,13502,,,12595,,538,,,,,1156,,4106,,,,,,4170,,,605,342,,29901,,,,,,774,,4763,,,,170,,,,1797,,263,1617,20737,,966,1527,2087,19998,27939,275,,,2315,382,2739,3198,1206,,1293,,7808,6030,1530,,,,,287,360,,839,1308,4088,,426,2358,,4003,,,22498,,2956,652,559,695,,,,4997,1113,3557,,,,,5395,20831,,1753,,,,,,5532,1719,999
1966,,,,,,,6152,,,21878,16416,,213,16475,783,287,402,,,23861,,,1211,42735,1200,3742,,,,518,560,20701,,4283,202,1587,1002,1061,1601,2581,,,3244,4681,,,,,26032,1408,2120,2345,732,11253,,,1670,15299,1705,16557,6237,15926,1991,985,,697,,,9930,,2655,15042,4949,1251,689,,1382,,666,620,345,,4709,,16090,11276,14199,3796,,13809,,598,,,,,1262,,4147,,,,,,4229,,,620,333,,30015,,,815,,,771,,4898,,,,158,,,,1748,,290,1696,21822,,935,1431,2091,20280,28766,289,,,2371,393,2862,3366,1222,,1339,,8295,6323,1519,,,,,299,355,,786,1307,4393,,426,2455,,4642,,,22751,,3284,628,589,750,,,,5158,1128,3863,,,,,5503,21931,,1735,,,,,,5631,1574,981
1967,,,,,,,6255,,,22965,16784,,237,17017,776,308,382,,,25082,,,1233,47478,1250,3821,,,,537,574,20960,,4362,185,1601,872,1021,1591,2612,,,3323,4818,,,,,27256,1411,2256,2382,719,11598,,,1584,15547,1887,17220,6365,16282,2095,991,,679,,,10408,,2723,15582,4903,1287,684,,1327,,657,611,365,,5118,,15632,11123,15109,3816,,15197,,597,,,,,1345,,4219,,,,,,4302,,,644,362,,29982,,,875,,,792,,5027,,341,,145,,,,1756,,304,1716,22123,,910,1180,2171,21110,30311,280,,,3832,404,3017,3399,1249,,1363,,8742,6843,1615,,,,,310,370,,775,1255,4835,,419,2517,,5061,,,23337,,3221,621,594,790,,,,5229,1106,3951,,,,,5249,22236,,1554,,,,,,5883,1647,1028
1968,,,,,,,6461,,,23713,17444,,230,17661,790,312,406,,,26161,,,1286,47563,1328,4147,,,,581,570,21655,,4444,173,1737,905,1035,1666,2691,,,3500,5036,,,,,28595,1373,2428,2358,690,12202,,,1615,15834,1992,17853,6390,17085,2169,972,,724,,,11086,,2710,16407,4963,1332,695,,1344,,709,625,369,,5721,1454,14576,12662,15996,3985,,17097,,623,,,,,1487,,4448,,,,,,4526,,,666,352,,31156,,,939,,,825,,5333,,349,,159,,,,1878,,290,1808,22945,,888,1140,2134,22232,30737,276,,,6770,422,3136,3311,1273,,1390,,9138,7483,1644,,,,,322,377,14253,767,1296,5395,,420,2529,,5310,,,24051,,3381,607,595,830,,,,5468,1195,4120,,,,,5300,23071,,1638,,,,,,5971,1616,1014
1969,,,,,,,6981,,,24858,18475,,221,18779,796,313,399,,,27535,,,1315,48286,1359,4435,,,,653,599,22440,,4544,197,1831,926,1100,1742,2781,,,3589,5250,,,,,30289,1479,2558,2396,708,13159,,,1683,17363,2000,18979,6764,17341,2251,1007,,721,,,12322,,2859,17167,5438,1302,707,,1369,,737,632,385,,6480,1450,14784,14009,16876,4153,,18837,,650,,,,,1666,,4607,,,,,,4690,,,701,350,,34096,,,995,,,833,,5348,,345,,160,,,,1845,,299,1851,23456,,816,1384,2200,23389,31861,283,,,8252,433,3304,3334,1295,,1471,,9913,7710,1678,,,,,346,391,14541,755,1176,6050,,447,2547,,5442,,,25079,,3302,636,631,859,,,,5580,1224,4187,,,,,5571,23555,,1668,,,,,,6091,1558,1102
