date,Monaco,Luxembourg,Bermuda,Norway,Ireland,Switzerland,Denmark,Qatar,Singapore,Sweden,Australia,United States,Netherlands,"Macao SAR, China",Canada,Iceland,Austria,Finland,Japan,Belgium,Germany,Andorra,France,United Kingdom,United Arab Emirates,New Zealand,"Hong Kong SAR, China",Italy,Israel,Spain,Kuwait,Brunei Darussalam,Cyprus,Malta,"Bahamas, The","Korea, Rep.",Puerto Rico,Slovenia,Portugal,Czech Republic,Greece,Slovak Republic,Bahrain,Estonia,Saudi Arabia,Lithuania,Hungary,Poland,St. Kitts and Nevis,Latvia,Croatia,Barbados,Antigua and Barbuda,Turkey,Trinidad and Tobago,Chile,Oman,Seychelles,Uruguay,Malaysia,Romania,Palau,Russian Federation,Panama,Kazakhstan,Brazil,Mauritius,Mexico,Costa Rica,Argentina,Latin America & Caribbean,St. Lucia,Caribbean small states,Equatorial Guinea,Latin America & Caribbean (excluding high income),Grenada,Gabon,Bulgaria,Montenegro,Maldives,China,Nauru,Libya,Botswana,Suriname,Dominican Republic,Colombia,South Africa,Serbia,Dominica,St. Vincent and the Grenadines,Belarus,Thailand,Peru,Bosnia and Herzegovina,Guyana,"Iran, Islamic Rep.",Azerbaijan,Lebanon,Namibia,North Macedonia,Iraq,Paraguay,Albania,Ecuador,Georgia,Jamaica,Eswatini,Fiji,Armenia,Algeria,Kosovo,Indonesia,Tunisia,Tonga,Mongolia,Belize,Sri Lanka,Tuvalu,Cabo Verde,Samoa,Moldova,El Salvador,Morocco,Philippines,Jordan,Bhutan,Ukraine,Angola,"Egypt, Arab Rep.",West Bank and Gaza,Vanuatu,Bolivia,Papua New Guinea,Uzbekistan,Nigeria,Fragile and conflict affected situations,Honduras,"Congo, Rep.",India,Vietnam,South Asia,Ghana,Lao PDR,Kiribati,Nicaragua,Mauritania,Solomon Islands,Cote d'Ivoire,Sudan,Zambia,Myanmar,Senegal,Cameroon,Comoros,Lesotho,Bangladesh,Cambodia,Benin,Haiti,Kenya,Pakistan,Zimbabwe,Tajikistan,Kyrgyz Republic,IDA only,Least developed countries: UN classification,Tanzania,Timor-Leste,Uganda,Heavily indebted poor countries (HIPC),Guinea,Rwanda,Nepal,Burkina Faso,"Gambia, The",Chad,Mali,Togo,Guinea-Bissau,"Yemen, Rep.",Ethiopia,Mozambique,Afghanistan,Niger,Malawi,Liberia,Madagascar,Sierra Leone,"Congo, Dem. Rep.",Central African Republic,Burundi
1960,0,27086,33363,23167,0,0,20538,0,3503,18062,19378,17563,16387,0,16406,11702,13031,12185,8608,13022,0,0,12744,13934,0,0,0,10879,8789,7376,0,0,0,0,17735,932,5832,0,4501,0,6260,0,0,0,0,0,0,0,0,0,0,0,0,3175,4007,3612,0,2830,5475,1354,0,0,0,2139,0,3417,0,3907,2911,5643,3693,0,0,0,3638,0,4366,0,0,0,192,0,0,408,3335,1324,2339,4624,0,0,1752,0,571,2660,0,2565,2979,0,0,0,0,0,1364,0,2238,0,0,0,1774,0,2481,0,690,0,0,0,1079,0,0,0,0,0,0,0,1100,0,0,0,0,579,0,0,1005,1012,0,1360,1515,1096,1564,330,0,332,1057,0,0,1506,0,0,1226,876,1496,153,1362,957,0,262,372,0,712,1512,537,302,995,0,0,0,0,0,0,0,658,0,351,266,269,0,697,0,375,0,0,0,0,0,826,238,0,819,373,1039,600,213
1961,0,27868,34080,24426,0,0,21696,0,3664,18999,19469,17671,16220,0,16590,11466,13677,13019,9396,13625,0,0,13203,14199,0,0,3381,11693,9456,8173,0,0,0,0,18674,968,6134,0,4712,0,7030,0,0,0,0,0,0,0,0,0,0,0,0,3135,4480,3723,0,2617,5539,1412,0,0,0,2304,0,3660,0,3977,2858,5853,3828,0,0,0,3770,0,4963,0,0,0,141,0,0,425,3400,1251,2383,4685,0,0,1805,0,584,2775,0,2606,3236,0,0,0,0,0,1421,0,2287,0,0,0,1774,0,2091,0,711,0,0,0,1101,586,0,0,0,0,0,0,1124,0,0,0,0,592,0,0,1007,1056,0,1336,1496,1086,1654,336,0,338,1059,0,0,1568,1382,0,1300,854,1471,151,1365,949,0,262,384,0,724,1439,480,313,1023,0,0,581,0,0,0,0,642,0,329,267,276,0,693,0,416,0,0,0,0,0,839,251,0,816,374,903,619,181
1962,0,27903,34763,24912,0,0,22747,0,3833,19699,19246,18463,17085,0,17493,12192,13954,13317,10138,14278,0,0,13911,14234,0,0,3704,12335,9926,8904,0,0,0,0,19609,977,6507,0,4987,0,7014,0,0,0,0,0,0,0,0,0,0,0,0,3230,4527,3794,0,2763,5384,1455,0,0,0,2420,0,3740,0,4035,2903,5711,3903,0,0,0,3845,0,5275,0,0,0,132,0,0,444,3440,1416,2435,4853,0,0,1847,0,609,2968,0,2561,3424,0,0,0,0,0,1430,0,2332,0,0,0,1775,0,1638,0,705,0,0,0,1123,594,0,0,0,0,0,0,1139,0,0,0,0,599,0,0,1042,1102,0,1362,1574,1117,1698,339,0,342,1068,0,0,1686,1352,0,1267,889,1392,154,1326,957,0,296,394,0,689,1523,509,319,1003,0,0,605,0,0,0,0,671,0,360,268,289,0,716,0,427,0,0,0,0,0,899,246,0,814,385,1067,586,193
1963,0,28564,34324,25661,0,0,22713,0,4113,20632,20053,19000,17467,0,18089,13208,14438,13657,10886,14788,0,0,14572,14816,0,0,4142,12932,10590,9673,0,0,0,0,20609,1036,6917,0,5259,0,7816,0,0,0,0,0,0,0,0,0,0,0,0,3440,4713,3935,0,2966,5330,1513,0,0,0,2550,0,3665,0,4229,2993,5323,3895,0,0,0,3825,0,5529,0,0,0,142,0,0,460,3539,1460,2438,5081,0,0,1712,0,639,3009,0,2187,3579,0,0,0,0,0,1458,0,2314,0,0,0,1825,0,2146,0,671,0,0,0,1146,595,0,0,0,0,0,0,1180,0,0,0,0,644,0,0,1091,1125,0,1448,1614,1125,1589,352,0,353,1080,0,0,1813,1287,0,1396,840,1395,170,1314,971,0,321,381,0,710,1466,537,338,1030,0,0,605,0,0,0,0,674,0,319,268,281,0,691,0,444,0,0,0,0,0,956,237,0,787,385,1094,572,197
1964,0,30467,37202,26743,0,0,24620,0,3884,21875,21036,19825,18661,0,18930,14262,15221,14293,12031,15668,0,0,15337,15535,0,0,4392,13185,10988,10086,0,0,0,0,21688,1105,7262,0,5588,0,8520,0,0,0,0,0,0,0,0,0,0,0,0,3542,5013,3957,0,3064,5398,1545,0,0,0,2585,0,3685,0,4588,2995,5773,4071,0,0,0,4006,0,5700,0,0,0,164,0,0,480,3671,1509,2511,5347,0,0,1756,0,662,3115,0,2378,3807,0,0,0,0,0,1480,0,2415,0,0,0,1853,0,2214,0,677,0,0,0,1169,604,0,0,0,0,0,0,1182,0,0,0,0,700,0,0,1112,1197,0,1487,1680,1153,1607,370,0,372,1071,0,0,1964,1595,0,1580,808,1519,157,1327,984,0,341,411,0,745,1414,545,355,985,0,0,616,0,0,0,0,679,0,274,284,284,0,660,0,498,0,0,0,0,0,930,237,0,798,404,1039,573,205
1965,0,29901,38039,27939,0,0,25542,0,4088,22498,21862,20831,19998,0,19765,15051,15649,15001,12595,16079,0,0,15893,15766,0,0,4905,13502,11575,10601,0,0,0,0,22864,1156,7808,0,6030,0,9394,0,0,0,0,0,0,0,0,0,0,0,0,3557,4997,3920,2315,2956,5395,1617,0,0,0,2739,0,3693,0,4763,3132,6286,4170,0,0,0,4106,0,6077,0,0,0,187,0,0,497,4003,1280,2525,5532,0,0,1753,0,695,3198,0,2572,4347,0,0,0,0,0,1530,0,2422,1873,0,0,1751,0,2290,0,666,1113,0,0,1191,605,0,0,0,0,2358,0,1206,0,0,0,0,715,0,0,1143,1293,0,1527,1711,1222,1623,353,0,360,1055,0,0,2087,1797,0,1475,839,1719,170,1308,981,0,342,405,0,770,1417,538,382,999,0,0,623,0,0,0,0,689,0,287,275,290,0,652,0,559,0,0,0,0,0,966,263,0,774,426,1022,568,209
1966,0,30015,42735,28766,0,0,26032,0,4393,22751,21878,21931,20280,0,20701,16090,16416,15299,13809,16475,0,0,16557,15926,0,0,4949,14199,11276,11253,0,0,0,0,23861,1262,8295,0,6323,0,9930,0,0,0,0,0,0,0,0,0,0,0,0,3863,5158,4283,2371,3284,5503,1696,0,0,0,2862,0,3742,0,4898,3244,6152,4229,0,4681,0,4147,0,6237,0,0,0,202,0,0,518,4642,1408,2581,5631,0,0,1735,0,750,3366,0,2655,4709,0,0,0,0,0,1519,0,2345,1991,3796,0,1705,0,2120,0,666,1128,0,0,1211,620,0,0,0,0,2455,815,1222,0,0,0,0,732,0,0,1200,1339,0,1431,1670,1251,1601,345,0,355,985,0,0,2091,1748,0,1587,786,1574,158,1307,1002,0,333,402,0,783,1382,598,393,981,0,0,620,0,0,0,0,689,0,299,289,287,697,628,0,589,0,0,0,0,0,935,290,0,771,426,1061,560,213
1967,0,29982,47478,30311,0,0,27256,0,4835,23337,22965,22236,21110,0,20960,15632,16784,15547,15197,17017,0,0,17220,16282,0,0,4903,15109,11123,11598,0,0,0,0,25082,1345,8742,0,6843,0,10408,0,0,0,0,0,0,0,0,0,0,0,0,3951,5229,4362,3832,3221,5249,1716,0,0,0,3017,0,3821,0,5027,3323,6255,4302,0,4818,0,4219,0,6365,0,0,0,185,0,0,537,5061,1411,2612,5883,0,0,1554,0,790,3399,0,2723,5118,0,0,0,0,0,1615,0,2382,2095,3816,0,1887,0,2256,0,657,1106,0,0,1233,644,0,0,0,0,2517,875,1249,0,0,0,0,719,0,0,1250,1363,0,1180,1584,1287,1591,365,0,370,991,0,0,2171,1756,0,1601,775,1647,145,1255,872,0,362,382,0,776,1327,597,404,1028,0,0,611,0,0,0,0,684,0,310,280,308,679,621,341,594,0,0,0,0,0,910,304,0,792,419,1021,574,237
1968,0,31156,47563,30737,0,0,28595,0,5395,24051,23713,23071,22232,0,21655,14576,17444,15834,17097,17661,0,0,17853,17085,0,0,4963,15996,12662,12202,0,0,0,0,26161,1487,9138,0,7483,0,11086,0,0,0,14253,0,0,0,0,0,0,0,0,4120,5468,4444,6770,3381,5300,1808,0,0,0,3136,0,4147,0,5333,3500,6461,4526,0,5036,0,4448,0,6390,0,0,0,173,0,0,581,5310,1373,2691,5971,0,0,1638,0,830,3311,0,2710,5721,0,0,0,0,1454,1644,0,2358,2169,3985,0,1992,0,2428,0,709,1195,0,0,1286,666,0,0,0,0,2529,939,1273,0,0,0,0,690,0,0,1328,1390,0,1140,1615,1332,1666,369,0,377,972,0,0,2134,1878,0,1737,767,1616,159,1296,905,0,352,406,0,790,1344,623,422,1014,0,0,625,0,0,0,0,695,0,322,276,312,724,607,349,595,0,0,0,0,0,888,290,0,825,420,1035,570,230
1969,0,34096,48286,31861,0,0,30289,0,6050,25079,24858,23555,23389,0,22440,14784,18475,17363,18837,18779,0,0,18979,17341,0,0,5438,16876,14009,13159,0,0,0,0,27535,1666,9913,0,7710,0,12322,0,0,0,14541,0,0,0,0,0,0,0,0,4187,5580,4544,8252,3302,5571,1851,0,0,0,3304,0,4435,0,5348,3589,6981,4690,0,5250,0,4607,0,6764,0,0,0,197,0,0,653,5442,1479,2781,6091,0,0,1668,0,859,3334,0,2859,6480,0,0,0,0,1450,1678,0,2396,2251,4153,0,2000,0,2558,0,737,1224,0,0,1315,701,0,0,0,0,2547,995,1295,0,0,0,0,708,0,0,1359,1471,0,1384,1683,1302,1742,385,0,391,1007,0,0,2200,1845,0,1831,755,1558,160,1176,926,0,350,399,0,796,1369,650,433,1102,0,0,632,0,0,0,0,707,0,346,283,313,721,636,345,631,0,0,0,0,0,816,299,0,833,447,1100,599,221
