date,India,China
1960,330,192
1961,336,141
1962,339,132
1963,352,142
1964,370,164
1965,353,187
1966,345,202
1967,365,185
1968,369,173
1969,385,197
1970,396,229
1971,394,238
1972,382,241
1973,386,254
1974,382,254
1975,407,272
1976,404,263
1977,424,280
1978,438,307
1979,405,326
1980,423,347
1981,438,360
1982,443,387
1983,464,423
1984,471,480
1985,485,538
1986,497,577
1987,505,634
1988,542,694
1989,562,712
1990,581,729
1991,576,786
1992,595,887
1993,611,999
1994,639,1116
1995,675,1225
1996,712,1332
1997,727,1441
1998,758,1539
1999,810,1642
2000,827,1768
2001,852,1901
2002,869,2061
2003,922,2254
2004,979,2467
2005,1040,2732
2006,1107,3063
2007,1174,3480
2008,1193,3797
2009,1268,4133
2010,1358,4550
2011,1410,4961
2012,1469,5325
2013,1545,5711
2014,1640,6104
2015,1752,6500
2016,1876,6908
2017,1987,7347
2018,2086,7807
2019,2152,8242
