State,Industry,Mining,Manufacturing,Services,Agriculture
Tamil Nadu,142927,2151,87356,275594,60807
Uttar Pradesh,99858,3974,56650,245711,189930
Andhra Pradesh,105431,11704,54815,244633,146926
West Bengal,66034,3128,35364,226261,106064
Delhi,21442,0,10822,193070,2838
Karnataka,84185,1219,49523,172737,72340
Rajasthan,67534,11827,28255,117146,93654
Haryana,52087,65,34613,106568,57184
Madhya Pradesh,59747,7922,24008,98824,108080
Bihar,36014,91,10008,92199,67800
Punjab,48144,12,32620,80329,69794
Odisha,49379,8165,22479,67111,43456
Jharkhand,43254,11776,22502,45879,29895
Assam,18056,4449,6361,47571,33065
Chhattisgarh,33966,8113,12373,34960,30288
Jammu and Kashmir,10279,448,3051,23665,16384
Himachal Pradesh,17543,149,7623,19172,13367
Uttarakhand,24934,34689,442,17625,11655
Puducherry,5352,0,4063,7010,939
Meghalaya,3504,659,767,6491,3462
A & N Islands,871,9,30,2743,626
Arunachal Pradesh,1960,110,130,2250,2655
Tripura,3449,288,785,9411,7080
Sikkim,3234,10,1966,1814,851
Nagaland,1334,14,181,6403,4912
Mizoram,885,22,89,3533,1633
Manipur,2197,0,371,4227,2610
Maharashtra,245147,3455,163875,532914,119548
Kerala,53967,847,17171,148019,35452
Gujarat,167325,6918,112881,212301,88414
Goa,9489,385,5953,19310,1642
Chandigarh,2403,0,1071,14053,141
